subject,lambda_theta,sigma_theta_kPa,sigma_z_kPa,Pi_mmHg
2,1.1643251628121505,98.65615960945102,19.560335295617655,101.27127828180859
2,1.164718196226165,99.3609008728196,19.599227580906007,101.99470040650719
2,1.1651112296401793,100.07499858655942,19.638280590844268,102.72772699678632
2,1.1655042630541939,100.79860576320831,19.677495469554433,103.47051512114894
2,1.1658972964682082,101.53187815791246,19.716873369541165,104.22322466340583
2,1.1662903298822227,102.27497432141699,19.756415451760933,104.98601837707074
2,1.166683363296237,103.02805565413766,19.79612288569095,105.75906194086545
2,1.1670763967102515,103.7912864613565,19.835996849399677,106.54252401537849
2,1.1674694301242659,104.56483400954943,19.876038529617198,107.33657630088577
2,1.1678624635382804,105.34886858388298,19.916249121806587,108.14139359637154
2,1.1682554969522947,106.14356354689501,19.95662983023566,108.9571538597645
2,1.1686485303663092,106.94909539839766,19.997181868049857,109.78403826942858
2,1.1690415637803235,107.7656438366142,20.037906457345095,110.62223128692044
2,1.169434597194338,108.59339182059325,20.07880482924179,111.47192072105808
2,1.1698276306083524,109.43252563391198,20.119878223959148,112.33329779331274
2,1.170220664022367,110.28323494971306,20.16112789089076,113.20655720456966
2,1.1706136974363812,111.14571289708773,20.202555088679865,114.09189720327093
2,1.1710067308503957,112.02015612885229,20.244161085296305,114.98951965498847
2,1.17139976426441,112.90676489073005,20.28594715811348,115.89963011343987
3,1.1219751145961065,57.02623466725041,22.65152703679245,64.19997256013238
3,1.1225817234893514,57.28729160714134,22.709738637289455,64.49386971949113
3,1.1231883323825964,57.550376741967,22.768267245760264,64.79005021493046
3,1.1237949412758412,57.81552594472801,22.82711678175997,65.08855443217232
3,1.124401550169086,58.08277581355976,22.88629121160873,65.38942357329327
3,1.125008159062331,58.35216368822937,22.94579454902757,65.69269967529678
3,1.125614767955576,58.62372766704489,23.005630855784002,65.99842562914954
3,1.126221376848821,58.89750662418666,23.06580424234665,66.30664519929306
3,1.1268279857420658,59.173540227471676,23.126318868549674,66.61740304364272
3,1.1274345946353106,59.451868956564596,23.187178944267117,66.93074473408969
3,1.1280412035285556,59.7325341216449,23.248388730096856,67.24671677751637
3,1.1286478124218005,60.015577882544214,23.30995253805463,67.56536663734113
3,1.1292544213150453,60.30104326836718,23.371874732278798,67.88674275560739
